path,scan_and_pvol_count,error_no_vradh,radar
czechia/2012/20120210.tgz,192,192,czbrd|czska
czechia/2012/20120211.tgz,190,190,czbrd|czska
czechia/2012/20120212.tgz,192,192,czbrd|czska
czechia/2012/20120213.tgz,171,171,czbrd|czska
czechia/2012/20120214.tgz,189,189,czbrd|czska
czechia/2012/20120215.tgz,190,190,czbrd|czska
czechia/2012/20120216.tgz,192,192,czbrd|czska
czechia/2012/20120217.tgz,184,184,czbrd|czska
czechia/2012/20120218.tgz,192,192,czbrd|czska
czechia/2012/20120219.tgz,192,192,czbrd|czska
czechia/2012/20120220.tgz,192,192,czbrd|czska
czechia/2012/20120221.tgz,192,192,czbrd|czska
czechia/2012/20120222.tgz,192,192,czbrd|czska
czechia/2012/20120223.tgz,190,190,czbrd|czska
czechia/2012/20120224.tgz,192,192,czbrd|czska
czechia/2012/20120225.tgz,192,192,czbrd|czska
czechia/2012/20120226.tgz,192,192,czbrd|czska
czechia/2012/20120227.tgz,192,192,czbrd|czska
czechia/2012/20120228.tgz,192,192,czbrd|czska
czechia/2012/20120229.tgz,192,192,czbrd|czska
czechia/2012/20120301.tgz,184,184,czbrd|czska
czechia/2012/20120302.tgz,192,192,czbrd|czska
czechia/2012/20120303.tgz,192,192,czbrd|czska
czechia/2012/20120304.tgz,192,192,czbrd|czska
czechia/2012/20120305.tgz,192,192,czbrd|czska
czechia/2012/20120306.tgz,192,192,czbrd|czska
czechia/2012/20120307.tgz,192,192,czbrd|czska
czechia/2012/20120308.tgz,184,184,czbrd|czska
czechia/2012/20120309.tgz,191,191,czbrd|czska
czechia/2012/20120310.tgz,192,192,czbrd|czska
czechia/2012/20120311.tgz,192,192,czbrd|czska
czechia/2012/20120312.tgz,192,192,czbrd|czska
czechia/2012/20120313.tgz,192,192,czbrd|czska
czechia/2012/20120314.tgz,192,192,czbrd|czska
czechia/2012/20120315.tgz,192,192,czbrd|czska
czechia/2012/20120316.tgz,186,186,czbrd|czska
czechia/2012/20120317.tgz,186,186,czbrd|czska
czechia/2012/20120318.tgz,175,175,czbrd|czska
czechia/2012/20120319.tgz,188,188,czbrd|czska
czechia/2012/20120320.tgz,191,191,czbrd|czska
czechia/2012/20120321.tgz,184,184,czbrd|czska
czechia/2012/20120322.tgz,192,192,czbrd|czska
czechia/2012/20120323.tgz,192,192,czbrd|czska
czechia/2012/20120324.tgz,187,187,czbrd|czska
czechia/2012/20120325.tgz,185,185,czbrd|czska
czechia/2012/20120326.tgz,192,192,czbrd|czska
czechia/2012/20120327.tgz,192,192,czbrd|czska
czechia/2012/20120328.tgz,192,192,czbrd|czska
czechia/2012/20120329.tgz,192,192,czbrd|czska
czechia/2012/20120330.tgz,192,192,czbrd|czska
czechia/2012/20120331.tgz,188,188,czbrd|czska
czechia/2012/20120401.tgz,192,192,czbrd|czska
czechia/2012/20120402.tgz,191,191,czbrd|czska
czechia/2012/20120403.tgz,181,181,czbrd|czska
czechia/2012/20120404.tgz,191,191,czbrd|czska
czechia/2012/20120405.tgz,192,192,czbrd|czska
czechia/2012/20120406.tgz,151,151,czbrd|czska
czechia/2012/20120407.tgz,140,140,czbrd|czska
czechia/2012/20120408.tgz,190,190,czbrd|czska
czechia/2012/20120409.tgz,191,191,czbrd|czska
czechia/2012/20120410.tgz,183,183,czbrd|czska
czechia/2012/20120411.tgz,192,192,czbrd|czska
czechia/2012/20120412.tgz,191,191,czbrd|czska
czechia/2012/20120413.tgz,189,189,czbrd|czska
czechia/2012/20120414.tgz,192,192,czbrd|czska
